id,img_warm,img_cool,img_low_res,img_mid_res,img_high_res,img_bright_low,img_bright_medium,img_bright_high,img_bright_very_high,img_bedroom,img_kitchen,img_bathroom,img_living_room,img_dining_room,img_balcony,img_not_a_room
2800120,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2809026,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2829553,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2861381,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2861667,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2882337,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2921938,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2942229,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2976795,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2977065,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2985952,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3018468,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
3036359,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3036789,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3045003,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3048137,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3087967,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
3099026,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
3111787,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
3113368,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
3120537,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
3155284,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3172327,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
3174322,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
3184089,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
3209240,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3236653,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
3244143,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
3254077,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3261562,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
3267105,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
3277053,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
3285009,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
3285500,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
3294707,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
3308196,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3320920,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3329357,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
3332625,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3346620,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
3389300,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
3431653,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
3432883,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3437329,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
3459981,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
3461086,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3484708,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
3492282,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3500433,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
3519739,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3565477,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
3572825,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
3577411,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
3580990,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
3590060,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3604547,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
3620791,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
3641710,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
